text_boost,semantic_weight,hit_rate,mrr
0.25,0.6,0.8279816513761468,0.6890290519877673
0.25,0.7,0.8302752293577982,0.6839831804281341
0.25,0.8,0.8188073394495413,0.6749999999999999
0.3,0.6,0.8211009174311926,0.6883409785932719
0.3,0.7,0.8279816513761468,0.6886467889908254
0.3,0.8,0.8325688073394495,0.68677370030581
0.35,0.6,0.8096330275229358,0.6847094801223241
0.35,0.7,0.8211009174311926,0.6883409785932719
0.35,0.8,0.823394495412844,0.6878440366972475
0.4,0.6,0.8119266055045872,0.6840978593272171
0.4,0.7,0.8119266055045872,0.68631498470948
0.4,0.8,0.8211009174311926,0.6883409785932719
